type,id,item_type,rate_type,item_id,rate,time_cooldown,cost_energy,min_count,max_count,deduct_rate,gem_to_min,,,
FruitNutGenerator,1003,Fruit,75,1010,75,7200,1,8,24,,17,,,
,,Nut,25,1022,25,,,,,,,,,
FruitNutGenerator,1004,Fruit,75,1010,50,5900,1,10,30,,26,,,
,,,,1011,30,,,,,,,,,
,,Nut,25,1022,20,,,,,,,,,
FruitNutGenerator,1005,Fruit,75,1010,45,4821,1,12,36,,30,,,
,,,,1011,20,,,,,,,,,
,,,,1012,10,,,,,,,,,
,,Nut,25,1022,25,,,,,,,,,
FruitNutGenerator,1006,Fruit,75,1010,40,3992,1,14,42,,39,,,
,,,,1011,22.5,,,,,,,,,
,,,,1012,12.5,,,,,,,,,
,,Nut,25,1022,25,,,,,,,,,
FruitNutGenerator,1007,Fruit,75,1010,35,3480,1,16,162,,50,,,
,,,,1011,25,,,,,,,,,
,,,,1012,15,,,,,,,,,
,,Nut,25,1022,25,,,,,,,,,
FruitNutGenerator,1008,Fruit,75,1010,48.14,2697,1,18,182,,73,,, 
,,,,1011,15.76,,,,,,,,,
,,,,1012,11.1,,,,,,,,,
,,Nut,25,1022,25,,,,,,,,,
FruitNutGenerator,1009,Fruit,75,1010,50,2571,1,20,205,,86,,,
,,,,1011,15,,,,,,,,,
,,,,1012,10,,,,,,,,,
,,Nut,25,1022,25,,,,,,,,,
DrinkGenerator,2003,SoftDrinks,70.7,2020,70.7,3619,1,8,24,,11,,,
,,Coffee,12.5,2032,12.5,,,,,,,,,
,,AdditivesAndGarnishes,16.8,2010,16.8,,,,,,,,,
DrinkGenerator,2004,SoftDrinks,66.7,2020,36.7,2965,1,10,30,,15,,,
,,,,2021,30,,,,,,,,,
,,Coffee,16.7,2032,16.7,,,,,,,,,
,,AdditivesAndGarnishes,16.6,2010,16.6,,,,,,,,,
DrinkGenerator,2005,SoftDrinks,72.2,2020,41.7,2438,1,12,36,,20,,,
,,,,2021,25,,,,,,,,,
,,,,2022,5.6,,,,,,,,,
,,Coffee,13.9,2032,13.9,,,,,,,,,
,,AdditivesAndGarnishes,13.9,2010,13.9,,,,,,,,,
DrinkGenerator,2006,SoftDrinks,69,2020,45.2,2006,1,14,42,,25,,,
,,,,2021,16.7,,,,,,,,,
,,,,2022,7.1,,,,,,,,,
,,Coffee,16.7,2032,16.7,,,,,,,,,
,,AdditivesAndGarnishes,14.3,2010,14.3,,,,,,,,,
DrinkGenerator,2007,SoftDrinks,68.5,2020,45.2,1749,1,16,161,,33,,,
,,,,2021,16.7,,,,,,,,,
,,,,2022,7.1,,,,,,,,,
,,Coffee,16.7,2032,16.7,,,,,,,,,
,,AdditivesAndGarnishes,14.8,2010,14.3,,,,,,,,,
DrinkGenerator,2008,SoftDrinks,67.8,2020,45.2,1355,1,18,182,,47,,,
,,,,2021,16.7,,,,,,,,,
,,,,2022,7.1,,,,,,,,,
,,Coffee,17.1,2032,16.7,,,,,,,,,
,,AdditivesAndGarnishes,15.1,2010,14.3,,,,,,,,,
DrinkGenerator,2009,SoftDrinks,67.8,2020,45.2,1292,1,20,205,,56,,,
,,,,2021,16.7,,,,,,,,,
,,,,2022,7.1,,,,,,,,,
,,Coffee,17.1,2032,16.7,,,,,,,,,
,,AdditivesAndGarnishes,15.1,2010,14.3,,,,,,,,,
ProteinGenerator,3003,PorkLamb,75,3020,75,3608,1,8,24,,10,,,
,,PoultryEgg,25,3010,25,,,,,,,,,
ProteinGenerator,3004,PorkLamb,76.7,3020,46.7,2956,1,10,30,,14,,,
,,,,3021,30,,,,,,,,,
,,PoultryEgg,23.3,3010,23.3,,,,,,,,,
ProteinGenerator,3005,PorkLamb,65.7,3020,52,2431,1,12,73,,18,,,
,,,,3021,20.5,,,,,,,,,
,,,,3022,4.1,,,,,,,,,
,,PoultryEgg,34.3,3010,23.4,,,,,,,,,
ProteinGenerator,3006,PorkLamb,66,3020,50,2000,1,14,145,,23,,,
,,,,3021,20.5,,,,,,,,,
,,,,3022,6.1,,,,,,,,,
,,PoultryEgg,34,3010,23.4,,,,,,,,,
ProteinGenerator,3007,PorkLamb,66.3,3020,50,1744,1,16,166,,30,,,
,,,,3021,20.5,,,,,,,,,
,,,,3022,6.1,,,,,,,,,
,,PoultryEgg,33.7,3010,23.4,,,,,,,,,
ProteinGenerator,3008,PorkLamb,65.1,3020,50,1351,1,18,188,,43,,,
,,,,3021,20.5,,,,,,,,,
,,,,3022,6.1,,,,,,,,,
,,PoultryEgg,34.9,3010,23.4,,,,,,,,,
ProteinGenerator,3009,PorkLamb,65.5,3020,50,1288,1,20,212,,51,,,
,,,,3021,20.5,,,,,,,,,
,,,,3022,6.1,,,,,,,,,
,,PoultryEgg,34.5,3010,23.4,,,,,,,,,
VegetablesGenerator,4003,Vegetables,73.4,4010,73.4,7200,1,8,20,,17,,,
,,LeafVegetables,26.6,4022,26.6,,,,,,,,,
VegetablesGenerator,4004,Vegetables,78.5,4010,42.9,5900,1,10,28,,23,,,
,,,,4011,35.7,,,,,,,,,
,,LeafVegetables,21.5,4022,21.4,,,,,,,,,
VegetablesGenerator,4005,Vegetables,75,4010,47.2,4851,1,12,36,,30,,,
,,,,4011,19.4,,,,,,,,,
,,,,4012,8.3,,,,,,,,,
,,LeafVegetables,25,4022,25,,,,,,,,,
VegetablesGenerator,4006,Vegetables,75.2,4010,50.3,3992,1,14,145,,39,,,
,,,,4011,16.6,,,,,,,,,
,,,,4012,8.3,,,,,,,,,
,,LeafVegetables,24.8,4022,24.8,,,,,,,,,
VegetablesGenerator,4007,Vegetables,75,4010,50.3,3480,1,16,166,,50,,,
,,,,4011,16.6,,,,,,,,,
,,,,4012,8.3,,,,,,,,,
,,LeafVegetables,25,4022,24.8,,,,,,,,,
VegetablesGenerator,4008,Vegetables,75.2,4010,50.3,2697,1,18,188,,73,,,
,,,,4011,16.6,,,,,,,,,
,,,,4012,8.3,,,,,,,,,
,,LeafVegetables,24.8,4022,24.8,,,,,,,,,
VegetablesGenerator,4009,Vegetables,75,4010,50.3,1949,1,20,212,,86,,,
,,,,4011,16.6,,,,,,,,,
,,,,4012,8.3,,,,,,,,,
,,LeafVegetables,25,4022,24.8,,,,,,,,,
Ship,5003,Fish,55.6,5010,55.6,3628,1,6,18,,13,,,
,,Shellfish,44.4,5022,44.4,,,,,,,,,
Ship,5004,Fish,53.8,5010,42.3,2973,1,8,26,,18,,,
,,,,5011,11.5,,,,,,,,,
,,Shellfish,46.2,5022,46.2,,,,,,,,,
Ship,5005,Fish,55.9,5010,41.2,2445,1,10,33,,23,,,
,,,,5011,10.3,,,,,,,,,
,,,,5012,4.4,,,,,,,,,
,,Shellfish,44.1,5022,44.1,,,,,,,,,
Ship,5006,Fish,55.5,5010,35.4,2011,1,12,110,,30,,,
,,,,5011,15.5,,,,,,,,,
,,,,5012,4.5,,,,,,,,,
,,Shellfish,44.5,5022,44.6,,,,,,,,,
Ship,5007,Fish,55.6,5010,30.6,1754,1,14,144,,38,,,
,,,,5011,19.4,,,,,,,,,
,,,,5012,5.6,,,,,,,,,
,,Shellfish,44.4,5022,44.4,,,,,,,,,
Ship,5008,Fish,55.6,5010,30.6,1359,1,16,165,,56,,,
,,,,5011,19.4,,,,,,,,,
,,,,5012,5.6,,,,,,,,,
,,Shellfish,44.4,5022,44.4,,,,,,,,,
Ship,5009,Fish,55.7,5010,30.6,1296,1,18,186,,66,,,
,,,,5011,19.4,,,,,,,,,
,,,,5012,5.6,,,,,,,,,
,,Shellfish,44.3,5022,44.4,,,,,,,,,
GrainGenerator,6003,Grain,100,6010,100,7200,1,8,24,,17,,,
GrainGenerator,6004,Grain,81.4,6010,81.4,5900,1,10,30,,23,,,
,,,18.6,6011,18.6,,,,,,,,,
GrainGenerator,6005,Grain,70,6010,70,4851,1,12,42,,,,,
,,,23.3,6011,23.3,,,,,,,,,
,,,6.7,6012,6.7,,,,,,,,,
GrainGenerator,6006,Grain,70,6010,70,3992,1,14,52,,30,,,
,,,23.3,6011,23.3,,,,,,,,,
,,,6.7,6012,6.7,,,,,,,,,
GrainGenerator,6007,Grain,70,6010,70,3480,1,16,80,,39,,,
,,,23.3,6011,23.3,,,,,,,,,
,,,6.7,6012,6.7,,,,,,,,,
GrainGenerator,6008,Grain,70,6010,70,2697,1,18,145,,50,,,
,,,23.3,6011,23.3,,,,,,,,,
,,,6.7,6012,6.7,,,,,,,,,
GrainGenerator,6009,Grain,70,6010,70,1949,1,20,212,,73,,,
,,,23.3,6011,23.3,,,,,,,,,
,,,6.7,6012,6.7,,,,,,,,,
AlcoholGenerator,7003,RiceWine,73.4,7010,73.4,7200,1,8,20,,17,,,
,,IconicAlcohol,26.6,7022,26.6,,,,,,,,,
AlcoholGenerator,7004,RiceWine,78.5,7010,42.9,5900,1,10,28,,23,,,
,,,,7011,35.7,,,,,,,,,
,,IconicAlcohol,21.5,7022,21.4,,,,,,,,,
AlcoholGenerator,7005,RiceWine,75,7010,47.2,4851,1,12,36,,30,,,
,,,,7011,19.4,,,,,,,,,
,,,,7012,8.3,,,,,,,,,
,,IconicAlcohol,25,7022,25,,,,,,,,,
AlcoholGenerator,7006,RiceWine,75.2,7010,50.3,3992,1,14,145,,39,,,
,,,,7011,16.6,,,,,,,,,
,,,,7012,8.3,,,,,,,,,
,,IconicAlcohol,24.8,7022,24.8,,,,,,,,,
AlcoholGenerator,7007,RiceWine,75,7010,50.3,3480,1,16,166,,50,,,
,,,,7011,16.6,,,,,,,,,
,,,,7012,8.3,,,,,,,,,
,,IconicAlcohol,25,7022,24.8,,,,,,,,,
AlcoholGenerator,7008,RiceWine,75.2,7010,50.3,2697,1,18,188,,73,,,
,,,,7011,16.6,,,,,,,,,
,,,,7012,8.3,,,,,,,,,
,,IconicAlcohol,24.8,7022,24.8,,,,,,,,,
AlcoholGenerator,7009,RiceWine,75,7010,50.3,1949,1,20,212,,86,,,
,,,,7011,16.6,,,,,,,,,
,,,,7012,8.3,,,,,,,,,
,,IconicAlcohol,25,7022,24.8,,,,,,,,,
"BBQRecipeBook
",9000,BBQRecipe,100,9006,100,3720,1,8,24,,10,,,
"BBQRecipeBook
",9001,BBQRecipe,81.4,9006,81.4,3120,1,10,30,,16,,,
,,,18.6,9007,18.6,,,,,,,,,
"BBQRecipeBook
",9002,BBQRecipe,70,9006,70,2580,1,12,42,,24,,,
,,,23.3,9007,23.3,,,,,,,,,
,,,6.7,9008,6.7,,,,,,,,,
"BBQRecipeBook
",9003,BBQRecipe,70,9006,70,2160,1,14,52,,36,,,
,,,23.3,9007,23.3,,,,,,,,,
,,,6.7,9008,6.7,,,,,,,,,
"BBQRecipeBook
",9004,BBQRecipe,70,9006,70,1800,1,16,80,,50,,,
,,,23.3,9007,23.3,,,,,,,,,
,,,6.7,9008,6.7,,,,,,,,,
"BBQRecipeBook
",9005,BBQRecipe,70,9006,70,1500,1,18,145,,70,,,
,,,23.3,9007,23.3,,,,,,,,,
,,,6.7,9008,6.7,,,,,,,,,
FrenchRecipeBook,9020,FrenchRecipe,100,9026,100,3720,1,8,24,,,,,
FrenchRecipeBook,9021,FrenchRecipe,81.4,9026,81.4,3120,1,10,30,,,,,
,,,18.6,9027,18.6,,,,,,,,,
FrenchRecipeBook,9022,FrenchRecipe,70,9026,70,2580,1,12,42,,,,,
,,,23.3,9027,23.3,,,,,,,,,
,,,6.7,9028,6.7,,,,,,,,,
FrenchRecipeBook,9023,FrenchRecipe,70,9026,70,2160,1,14,52,,,,,
,,,23.3,9027,23.3,,,,,,,,,
,,,6.7,9028,6.7,,,,,,,,,
FrenchRecipeBook,9024,FrenchRecipe,70,9026,70,1800,1,16,80,,,,,
,,,23.3,9027,23.3,,,,,,,,,
,,,6.7,9028,6.7,,,,,,,,,
FrenchRecipeBook,9025,FrenchRecipe,70,9026,70,1500,1,18,145,,,,,
,,,23.3,9027,23.3,,,,,,,,,
,,,6.7,9028,6.7,,,,,,,,,
JapaneseAttraction,303,BambooDerivatives,,315,,,,,,,,,,
,,FoxInspiredGift,,308,,,,,,,,,,
,304,BambooDerivatives,,315,,,,,,,,,,
,,,,316,,,,,,,,,,
,,FoxInspiredGift,,308,,,,,,,,,,
,305,BambooDerivatives,,315,,,,,,,,,,
,,,,316,,,,,,,,,,
,,,,317,,,,,,,,,,
,,FoxInspiredGift,,308,,,,,,,,,,
,306,BambooDerivatives,,315,,,,,,,,,,
,,,,316,,,,,,,,,,
,,,,317,,,,,,,,,,
,,FoxInspiredGift,,308,,,,,,,,,,
,307,BambooDerivatives,,315,,,,,,,,,,
,,,,316,,,,,,,,,,
,,,,317,,,,,,,,,,
,,FoxInspiredGift,,308,,,,,,,,,,
JapaneseRecipeBook,9040,JapaneseRecipe,100,9046,100,,,8,24,,,,,
,9041,JapaneseRecipe,81.4,9046,81.4,,,10,30,,,,,
,,,18.6,9047,18.6,,,,,,,,,
,9042,JapaneseRecipe,70,9046,70,,,12,42,,,,,
,,,23.3,9047,23.3,,,,,,,,,
,,,6.7,9048,6.7,,,,,,,,,
,9043,JapaneseRecipe,70,9046,70,,,14,52,,,,,
,,,23.3,9047,23.3,,,,,,,,,
,,,6.7,9048,6.7,,,,,,,,,
,9044,JapaneseRecipe,70,9046,70,,,16,80,,,,,
,,,23.3,9047,23.3,,,,,,,,,
,,,6.7,9048,6.7,,,,,,,,,
,9045,JapaneseRecipe,70,9046,70,,,18,145,,,,,
,,,23.3,9047,23.3,,,,,,,,,
,,,6.7,9048,6.7,,,,,,,,,
ChineseRecipeBook,9060,ChineseRecipe,100,9066,100,,,8,24,,,,,
,9061,ChineseRecipe,81.4,9066,81.4,,,10,30,,,,,
,,,18.6,9067,18.6,,,,,,,,,
,9062,ChineseRecipe,70,9066,70,,,12,42,,,,,
,,,23.3,9067,23.3,,,,,,,,,
,,,6.7,9068,6.7,,,,,,,,,
,9063,ChineseRecipe,70,9066,70,,,14,52,,,,,
,,,23.3,9067,23.3,,,,,,,,,
,,,6.7,9068,6.7,,,,,,,,,
,9064,ChineseRecipe,70,9066,70,,,16,80,,,,,
,,,23.3,9067,23.3,,,,,,,,,
,,,6.7,9068,6.7,,,,,,,,,
,9065,ChineseRecipe,70,9066,70,,,18,145,,,,,
,,,23.3,9067,23.3,,,,,,,,,
,,,6.7,9068,6.7,,,,,,,,,
SpanishRecipeBook,9080,,,9086,,,,,,,,,,
,9081,,,9086,,,,,,,,,,
,,,,9087,,,,,,,,,,
,9082,,,9086,,,,,,,,,,
,,,,9087,,,,,,,,,,
,,,,9088,,,,,,,,,,
,9083,,,9086,,,,,,,,,,
,,,,9087,,,,,,,,,,
,,,,9088,,,,,,,,,,
,9084,,,9086,,,,,,,,,,
,,,,9087,,,,,,,,,,
,,,,9088,,,,,,,,,,
,9085,,,9086,,,,,,,,,,
,,,,9087,,,,,,,,,,
,,,,9088,,,,,,,,,,
CraftToolStorage,503,,,508,,,,,,,,,,
,,,,516,,,,,,,,,,
,504,,,508,,,,,,,,,,
,,,,509,,,,,,,,,,
,,,,516,,,,,,,,,,
,505,,,508,,,,,,,,,,
,,,,509,,,,,,,,,,
,,,,510,,,,,,,,,,
,,,,516,,,,,,,,,,
,506,,,508,,,,,,,,,,
,,,,509,,,,,,,,,,
,,,,510,,,,,,,,,,
,,,,516,,,,,,,,,,
,507,,,508,,,,,,,,,,
,,,,509,,,,,,,,,,
,,,,510,,,,,,,,,,
,,,,516,,,,,,,,,,
