type,id,name_item,merge_to,init_time,can_sell,sell_price,sum_merge
DailyGift,18065,DailyGift,,,TRUE,,
EnergyChest,18066,EnergyChest,,,TRUE,,
AssistantsChest,18067,AssistantsChest,,,TRUE,,
ChefsChest,18068,ChefsChest,,,TRUE,,
EquipmentChest,18069,EquipmentChest,,,TRUE,,
Gift,18070,Gift,,,TRUE,,
ChoiceChest,18071,Choicechest,,,TRUE,,
FlushGift,18072,FlushGift,,,TRUE,,
 EquipmentBox,18073,EquipmentBox,,,,,
TraineeBox ,18074,TraineeBox,,,,,
CoinBox,18075,,,,,,
LuckyBox,18076,Lucky Box,,,,,
LuckyHandbag,18080,LuckyHandbag,,,,,
