type,id,name_item,merge_to,sell_price,sum_merge
FruitNutGenerator,1000,Fruit NutGenerator,1001,1,1
FruitNutGenerator,1001,Fruit NutGenerator,1002,2,2
FruitNutGenerator,1002,Fruit NutGenerator,1003,3,4
FruitNutGenerator,1003,Fruit NutGenerator,1004,4,8
FruitNutGenerator,1004,Fruit NutGenerator,1005,5,16
FruitNutGenerator,1005,Fruit NutGenerator,1006,6,32
FruitNutGenerator,1006,Fruit NutGenerator,1007,7,64
FruitNutGenerator,1007,Fruit NutGenerator,1008,8,128
FruitNutGenerator,1008,Fruit NutGenerator,1009,9,256
FruitNutGenerator,1009,Fruit NutGenerator,,10,512
DrinkGenerator,2000,Drink Generator,2001,1,1
DrinkGenerator,2001,Drink Generator,2002,2,2
DrinkGenerator,2002,Drink Generator,2003,3,4
DrinkGenerator,2003,Drink Generator,2004,4,8
DrinkGenerator,2004,Drink Generator,2005,5,16
DrinkGenerator,2005,Drink Generator,2006,6,32
DrinkGenerator,2006,Drink Generator,2007,7,64
DrinkGenerator,2007,Drink Generator,2008,8,128
DrinkGenerator,2008,Drink Generator,2009,9,256
DrinkGenerator,2009,Drink Generator,,10,512
ProteinGenerator,3000,Protein Generator,3001,1,1
ProteinGenerator,3001,Protein Generator,3002,2,2
ProteinGenerator,3002,Protein Generator,3003,3,4
ProteinGenerator,3003,Protein Generator,3004,4,8
ProteinGenerator,3004,Protein Generator,3005,5,16
ProteinGenerator,3005,Protein Generator,3006,6,32
ProteinGenerator,3006,Protein Generator,3007,7,64
ProteinGenerator,3007,Protein Generator,3008,8,128
ProteinGenerator,3008,Protein Generator,3009,9,256
ProteinGenerator,3009,Protein Generator,,10,512
VegetablesGenerator,4000,Vegetables Generator,4001,1,1
VegetablesGenerator,4001,Vegetables Generator,4002,2,2
VegetablesGenerator,4002,Vegetables Generator,4003,3,4
VegetablesGenerator,4003,Vegetables Generator,4004,4,8
VegetablesGenerator,4004,Vegetables Generator,4005,5,16
VegetablesGenerator,4005,Vegetables Generator,4006,6,32
VegetablesGenerator,4006,Vegetables Generator,4007,7,64
VegetablesGenerator,4007,Vegetables Generator,4008,8,128
VegetablesGenerator,4008,Vegetables Generator,4009,9,256
VegetablesGenerator,4009,Vegetables Generator,,10,512
Ship,5000,Ship,5001,1,1
Ship,5001,Ship,5002,2,2
Ship,5002,Ship,5003,3,4
Ship,5003,Ship,5004,4,8
Ship,5004,Ship,5005,5,16
Ship,5005,Ship,5006,6,32
Ship,5006,Ship,5007,7,64
Ship,5007,Ship,5008,8,128
Ship,5008,Ship,5009,9,256
Ship,5009,Ship,,10,512
BBQRecipeBook,9000,BBQ Recipe Book,9001,1,1
BBQRecipeBook,9001,BBQ Recipe Book,9002,2,2
BBQRecipeBook,9002,BBQ Recipe Book,9003,3,4
BBQRecipeBook,9003,BBQ Recipe Book,9004,4,8
BBQRecipeBook,9004,BBQ Recipe Book,9005,5,16
BBQRecipeBook,9005,BBQ Recipe Book,,6,32
GrainGenerator,6000,Grain Generator,6001,1,1
GrainGenerator,6001,Grain Generator,6002,2,2
GrainGenerator,6002,Grain Generator,6003,3,4
GrainGenerator,6003,Grain Generator,6004,4,8
GrainGenerator,6004,Grain Generator,6005,5,16
GrainGenerator,6005,Grain Generator,6006,6,32
GrainGenerator,6006,Grain Generator,6007,7,64
GrainGenerator,6007,Grain Generator,6008,8,128
GrainGenerator,6008,Grain Generator,6009,9,256
GrainGenerator,6009,Grain Generator,,10,512
AlcoholGenerator,7000,Alcohol Generator,7001,1,1
AlcoholGenerator,7001,Alcohol Generator,7002,2,2
AlcoholGenerator,7002,Alcohol Generator,7003,3,4
AlcoholGenerator,7003,Alcohol Generator,7004,4,8
AlcoholGenerator,7004,Alcohol Generator,7005,5,16
AlcoholGenerator,7005,Alcohol Generator,7006,6,32
AlcoholGenerator,7006,Alcohol Generator,7007,7,64
AlcoholGenerator,7007,Alcohol Generator,7008,8,128
AlcoholGenerator,7008,Alcohol Generator,7009,9,256
AlcoholGenerator,7009,Alcohol Generator,,10,512
FrenchRecipeBook,9020,French Recipe Book,9021,1,1
