type,id,name_item,merge_to,sell_price,sum_merge
Fruit,1010,Cherry,1011,0,1
Fruit,1011,Strawberry,1012,0,2
Fruit,1012,Apple,1013,0,4
Fruit,1013,Banana,1014,1,8
Fruit,1014,Lemon,1015,2,16
Fruit,1015,Coconut,1016,3,32
Fruit,1016,Orange,1017,5,64
Fruit,1017,Pomegranate,1018,10,128
Fruit,1018,Pear,1019,20,256
Fruit,1019,Mango,1020,37,512
Fruit,1020,Pineapple,1021,63,1028
Fruit,1021,Watermelon,,100,2048
Nut,1022,Sesame,1023,0,1
Nut,1023,Peanut,1024,1,2
Nut,1024,Pistachio,1025,2,4
Nut,1025,Cocoa Bean,1026,3,8
Nut,1026,Almond,1027,6,16
Nut,1027,Pecan,1028,12,32
Nut,1028,Walnut,1029,23,64
Nut,1029,Cashew,1030,44,128
Nut,1030,Date,1031,63,256
Nut,1031,Pine Nut,,100,512
CocoaBeanDerivatives,1032,Cocoa Powder,1033,3,9
CocoaBeanDerivatives,1033,Chocolate Syrup,1034,6,18
CocoaBeanDerivatives,1034,Chocolate,,12,36
CoconutWaterProducts,1035,Glass of Coconut Water,1036,1,33
CoconutWaterProducts,1036,Coconut Sago Soup,1037,3,66
CoconutWaterProducts,1037,Coconut Soda,1038,5,132
CoconutWaterProducts,1038,Coconut Yogurt,1039,10,264
CoconutWaterProducts,1039,Coconut Jelly,1040,12,528
CoconutWaterProducts,1040,Coconut Pudding,1041,14,1056
CoconutWaterProducts,1041,Coconut Candy,,16,2112
CoconutShellProducts,1042,Coconut Shell,1043,1,33
CoconutShellProducts,1043,Coconut Spoon,1044,3,66
CoconutShellProducts,1044,Coconut Fork,1045,5,132
CoconutShellProducts,1045,Coconut Saucer,1046,10,264
CoconutShellProducts,1046,Coconut Bowl,1047,12,528
CoconutShellProducts,1047,Coconut Teapot,1048,14,1056
CoconutShellProducts,1048,Coconut Teacup,,16,2112
SoftDrinks,2020,Water,2021,0,1
SoftDrinks,2021,Sparkling Water,2022,0,2
SoftDrinks,2022,Cola,2023,0,4
SoftDrinks,2023,Soda,2024,1,8
SoftDrinks,2024,Orange Soda,2025,1,16
SoftDrinks,2025,Grape Soda,2026,2,32
SoftDrinks,2026,Black Tea,2027,3,64
SoftDrinks,2027,Green Tea,2028,7,128
SoftDrinks,2028,Floral Tea,2029,13,256
SoftDrinks,2029,Lactic Acid Drink,2030,25,512
SoftDrinks,2030,Bubble Tea,2031,47,1024
SoftDrinks,2031,Energy Drink,,87,2048
Coffee,2032,Coffee Bean,2033,0,1
Coffee,2033,Ground Coffee,2034,1,2
Coffee,2034,Cup of Coffee,2035,2,4
Coffee,2035,Mug of Coffee,2036,3,8
Coffee,2036,Coffee on the Go,2037,7,16
Coffee,2037,Cold Brew,2038,13,32
Coffee,2038,Pour - over Coffee,2039,26,64
Coffee,2039,French Press Coffee,2040,49,128
Coffee,2040,Moka Pot Coffee,2041,51,256
Coffee,2041,Siphon Coffee,,53,512
AdditivesAndGarnishes,2010,Ice Cube,2011,0,1
AdditivesAndGarnishes,2011,Milk,2012,1,2
AdditivesAndGarnishes,2012,Sugar,2013,2,4
AdditivesAndGarnishes,2013,Caramel,2014,3,8
AdditivesAndGarnishes,2014,Honey,2015,7,16
AdditivesAndGarnishes,2015,Marshmallow,2016,13,32
AdditivesAndGarnishes,2016,Scoop of Ice Cream,2017,26,64
AdditivesAndGarnishes,2017,Sea Salt,2018,49,128
AdditivesAndGarnishes,2018,Mint Leaf,2019,51,256
AdditivesAndGarnishes,2019,Olive,,53,1024
DairyProducts,2042,Frothed Milk,2043,0,3
DairyProducts,2043,Whipped Cream,2044,1,6
DairyProducts,2044,Cheese,2045,2,12
DairyProducts,2045,Butter,2046,3,24
