type,id,name_item,merge_to,init_time,can_sell,sell_price,sum_merge
Pan,10000,Pan,10001,,TRUE,1,
,10001,Pan,10002,,TRUE,2,
,10002,Pan,10003,,TRUE,3,
,10003,Pan,10004,,TRUE,4,
,10004,Pan,10005,,TRUE,5,
,10005,Pan,10006,,TRUE,6,
,10006,Pan,10007,,TRUE,7,
,10007,Pan,10008,,TRUE,8,
,10008,Pan,10009,,TRUE,9,
,10009,Pan,,,TRUE,10,
Grill,10010,Grill,10011,,TRUE,1,
,10011,Grill,10012,,TRUE,2,
,10012,Grill,10013,,TRUE,3,
,10013,Grill,10014,,TRUE,4,
,10014,Grill,10015,,TRUE,5,
,10015,Grill,10016,,TRUE,6,
,10016,Grill,10017,,TRUE,7,
,10017,Grill,10018,,TRUE,8,
,10018,Grill,10019,,TRUE,9,
,10019,Grill,,,TRUE,10,
ChefCounter,10020,Chef's Counter,10021,,TRUE,1,
,10021,Chef's Counter,10022,,TRUE,2,
,10022,Chef's Counter,10023,,TRUE,3,
,10023,Chef's Counter,10024,,TRUE,4,
,10024,Chef's Counter,10025,,TRUE,5,
,10025,Chef's Counter,10026,,TRUE,6,
,10026,Chef's Counter,10027,,TRUE,7,
,10027,Chef's Counter,10028,,TRUE,8,
,10028,Chef's Counter,10029,,TRUE,9,
,10029,Chef's Counter,,,TRUE,10,
Juicer,10030,Juicer,10031,,TRUE,1,
,10031,Juicer,10032,,TRUE,2,
,10032,Juicer,10033,,TRUE,3,
,10033,Juicer,10034,,TRUE,4,
,10034,Juicer,10035,,TRUE,5,
,10035,Juicer,10036,,TRUE,6,
,10036,Juicer,10037,,TRUE,7,
,10037,Juicer,10038,,TRUE,8,
,10038,Juicer,10039,,TRUE,9,
,10039,Juicer,,,TRUE,10,
Oven,10040,Oven,10041,,TRUE,1,
,10041,Oven,10042,,TRUE,2,
,10042,Oven,10043,,TRUE,3,
,10043,Oven,10044,,TRUE,4,
,10044,Oven,10045,,TRUE,5,
,10045,Oven,10046,,TRUE,6,
,10046,Oven,10047,,TRUE,7,
,10047,Oven,10048,,TRUE,8,
,10048,Oven,10049,,TRUE,9,
,10049,Oven,,,TRUE,10,
Shaker,10050,Shaker,10051,,TRUE,1,
,10051,Shaker,10052,,TRUE,2,
,10052,Shaker,10053,,TRUE,3,
,10053,Shaker,10054,,TRUE,4,
,10054,Shaker,10055,,TRUE,5,
,10055,Shaker,10056,,TRUE,6,
,10056,Shaker,10057,,TRUE,7,
,10057,Shaker,10058,,TRUE,8,
,10058,Shaker,10059,,TRUE,9,
,10059,Shaker,,,TRUE,10,
Pot,10060,Pot,10061,,TRUE,1,
,10061,Pot,10062,,TRUE,2,
,10062,Pot,10063,,TRUE,3,
,10063,Pot,10064,,TRUE,4,
,10064,Pot,10065,,TRUE,5,
,10065,Pot,10066,,TRUE,6,
,10066,Pot,10067,,TRUE,7,
,10067,Pot,10068,,TRUE,8,
,10068,Pot,10069,,TRUE,9,
,10069,Pot,,,TRUE,10,
NoodleMaker,10070,Noodle Maker,10071,,TRUE,1,
,10071,Noodle Maker,10072,,TRUE,2,
,10072,Noodle Maker,10073,,TRUE,3,
,10073,Noodle Maker,10074,,TRUE,4,
,10074,Noodle Maker,10075,,TRUE,5,
,10075,Noodle Maker,10076,,TRUE,6,
,10076,Noodle Maker,,,TRUE,7,
Steamer,10077,Steamer,10078,,TRUE,1,
,10078,Steamer,10079,,TRUE,2,
,10079,Steamer,10080,,TRUE,3,
,10080,Steamer,10081,,TRUE,4,
,10081,Steamer,10082,,TRUE,5,
,10082,Steamer,10083,,TRUE,6,
,10083,Steamer,,,TRUE,7,
PaellaPan,10084,Paella Pan,10085,,TRUE,1,
,10085,Paella Pan,10086,,TRUE,2,
,10086,Paella Pan,10087,,TRUE,3,
,10087,Paella Pan,10088,,TRUE,4,
,10088,Paella Pan,10089,,TRUE,5,
,10089,Paella Pan,10090,,TRUE,6,
,10090,Paella Pan,,,TRUE,7,
PizzaOven,10091,Pizza Oven,10092,,TRUE,1,
,10092,Pizza Oven,10093,,TRUE,2,
,10093,Pizza Oven,10094,,TRUE,3,
,10094,Pizza Oven,10095,,TRUE,4,
,10095,Pizza Oven,10096,,TRUE,5,
,10096,Pizza Oven,10097,,TRUE,6,
,10097,Pizza Oven,,,TRUE,7,
IceCreamMaker,10098,Ice Cream Maker,,,TRUE,1,
